country,region,population,refugees
Papua New Guinea,East Asia & Pacific,8947027,10900
Poland,Europe & Central Asia,37950802,6410
North Korea,East Asia & Pacific,25778815,0
Portugal,Europe & Central Asia,10305564,3600
Paraguay,Latin America & Caribbean,7132530,6030
Palestine,Middle East & North Africa,5101414,2320000
Qatar,Middle East & North Africa,2881060,444
Romania,Europe & Central Asia,19286123,5870
Russia,Europe & Central Asia,144104080,21100
Rwanda,Sub-Saharan Africa,12952209,140000
Saudi Arabia,Middle East & North Africa,34813867,9770
Sudan,Sub-Saharan Africa,43849269,1060000
Senegal,Sub-Saharan Africa,16743930,16300
Singapore,East Asia & Pacific,5685807,5
Solomon Islands,East Asia & Pacific,686878,0
Sierra Leone,Sub-Saharan Africa,7976985,342
El Salvador,Latin America & Caribbean,6486201,116
San Marino,Europe & Central Asia,33938,0
Somalia,Sub-Saharan Africa,15893219,24500
South Sudan,Sub-Saharan Africa,11193729,318000
Sao Tome and Principe,Sub-Saharan Africa,219161,0
Suriname,Latin America & Caribbean,586634,2010
Slovak Republic,Europe & Central Asia,5458827,1080
Slovenia,Europe & Central Asia,2100126,1140
Sweden,Europe & Central Asia,10353442,267000
Eswatini,Sub-Saharan Africa,1160164,2070
Seychelles,Sub-Saharan Africa,98462,0
Syria,Middle East & North Africa,17500657,586000
Chad,Sub-Saharan Africa,16425859,483000
Togo,Sub-Saharan Africa,8278737,11500
Thailand,East Asia & Pacific,69799978,97100
Tajikistan,Europe & Central Asia,9537642,6000
Turkmenistan,Europe & Central Asia,6031187,20
Timor-Leste,East Asia & Pacific,1318442,0
Tonga,East Asia & Pacific,105697,0
Trinidad and Tobago,Latin America & Caribbean,1399491,27800
Tunisia,Middle East & North Africa,11818618,6320
Turkey,Europe & Central Asia,84339067,3970000
Tuvalu,East Asia & Pacific,11792,0
Tanzania,Sub-Saharan Africa,59734213,263000
Uganda,Sub-Saharan Africa,45741000,1450000
Ukraine,Europe & Central Asia,44134693,4630
Uruguay,Latin America & Caribbean,3473727,25400
United States,North America,329484123,1340000
Uzbekistan,Europe & Central Asia,34232050,18
St. Vincent and the Grenadines,Latin America & Caribbean,110947,14
Venezuela,Latin America & Caribbean,28435943,68400
Vietnam,East Asia & Pacific,97338583,5
Vanuatu,East Asia & Pacific,307150,0
Samoa,East Asia & Pacific,198410,0
Yemen,Middle East & North Africa,29825968,178000
South Africa,Sub-Saharan Africa,59308690,250000
Zambia,Sub-Saharan Africa,18383956,70400
Zimbabwe,Sub-Saharan Africa,14862927,21200
