idealista_id,typology,area_in_m2,floor,region_parish,price_in_euros,seller contact,link_idealista,idealista_ad_title
29929500,T2 ,105,1º andar ,campolide,695000,210020965.0,https://www.idealista.pt/imovel/29929500/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929478,T2 ,104,5º andar ,campolide,780000,210020965.0,https://www.idealista.pt/imovel/29929478/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929495,T2 ,106,2º andar ,campolide,730000,210020965.0,https://www.idealista.pt/imovel/29929495/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929494,T2 ,106,2º andar ,campolide,750000,210020965.0,https://www.idealista.pt/imovel/29929494/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929493,T2 ,110,5º andar ,campolide,780000,210020965.0,https://www.idealista.pt/imovel/29929493/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929492,T2 ,110,4º andar ,campolide,770000,210020965.0,https://www.idealista.pt/imovel/29929492/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929491,T2 ,110,3º andar ,campolide,755000,210020965.0,https://www.idealista.pt/imovel/29929491/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929490,T2 ,110,2º andar ,campolide,745000,210020965.0,https://www.idealista.pt/imovel/29929490/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
30910254,T2 ,76,,campolide,704000,215551306.0,https://www.idealista.pt/imovel/30910254/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
30910221,T1 ,46,,campolide,350000,215551306.0,https://www.idealista.pt/imovel/30910221/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
29929508,T2 ,106,1º andar ,campolide,735000,210020965.0,https://www.idealista.pt/imovel/29929508/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929506,T2 ,105,2º andar ,campolide,725000,210020965.0,https://www.idealista.pt/imovel/29929506/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929511,T2 ,106,1º andar ,campolide,735000,210020965.0,https://www.idealista.pt/imovel/29929511/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929489,T2 ,106,2º andar ,campolide,750000,210020965.0,https://www.idealista.pt/imovel/29929489/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929497,T2 ,104,2º andar ,campolide,775000,210020965.0,https://www.idealista.pt/imovel/29929497/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29929496,T2 ,104,3º andar ,campolide,785000,210020965.0,https://www.idealista.pt/imovel/29929496/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31505650,T3 ,140,1º andar ,campolide,550000,215567291.0,https://www.idealista.pt/imovel/31505650/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
31504125,T2 ,72,1º andar ,campolide,275000,215560280.0,https://www.idealista.pt/imovel/31504125/,"Apartamento T2 na rua Conde das Antas, Centro - Nova Campolide, Campolide"
31503984,T3 ,219,6º andar ,campolide,1315000,215557625.0,https://www.idealista.pt/imovel/31503984/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
30472922,T3 ,212,6º andar ,campolide,1295000,215557625.0,https://www.idealista.pt/imovel/30472922/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
31502654,T2 ,102,,campolide,195000,215559486.0,https://www.idealista.pt/imovel/31502654/,"Moradia em Bairro da Serafina - Bairro da Liberdade, Campolide"
31501390,T3 ,150,5º andar ,campolide,675000,966197660.0,https://www.idealista.pt/imovel/31501390/,"Apartamento T3 na rua de Campolide, 370, Praça de Espanha - Sete Rios, Campolide"
31501646,T2 ,50,,campolide,178000,215558147.0,https://www.idealista.pt/imovel/31501646/,"Moradia em banda na rua Soares dos Reis, Centro - Nova Campolide, Campolide"
31500602,T2 ,61,5º andar ,campolide,320000,215561284.0,https://www.idealista.pt/imovel/31500602/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31498822,T1 ,80,9º andar ,campolide,450000,215553718.0,https://www.idealista.pt/imovel/31498822/,"Apartamento T1 na rua Eduardo Malta, Praça de Espanha - Sete Rios, Campolide"
31497998,T2 ,106,2º andar ,campolide,750000,215569623.0,https://www.idealista.pt/imovel/31497998/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
