id,typology,area,floor,price,seller contact,link,title
31177102,T3 ,140,2º andar ,524500,215553827.0,https://www.idealista.pt/imovel/31177102/,"Apartamento T3 na estrada de Benfica, 431, Estrada de Benfica, São Domingos de Benfica"
31174708,T4 ,200, ,625000,215560941.0,https://www.idealista.pt/imovel/31174708/,"Apartamento T4 em Estrada de Benfica, São Domingos de Benfica"
31173715,T2 ,117, ,765371,215560731.0,https://www.idealista.pt/imovel/31173715/,"Apartamento T2 em Alto dos Moinhos, São Domingos de Benfica"
31173694,T1 ,67, ,433074,215560731.0,https://www.idealista.pt/imovel/31173694/,"Apartamento T1 em Alto dos Moinhos, São Domingos de Benfica"
31173693,T2 ,94,1º andar ,630964,215560731.0,https://www.idealista.pt/imovel/31173693/,"Apartamento T2 em Alto dos Moinhos, São Domingos de Benfica"
31173705,T1 ,71,1º andar ,479510,215560731.0,https://www.idealista.pt/imovel/31173705/,"Apartamento T1 em Alto dos Moinhos, São Domingos de Benfica"
31173144,T3 ,200,2º andar ,625000,210053120.0,https://www.idealista.pt/imovel/31173144/,"Apartamento T3 na estrada da Luz, Laranjeiras, São Domingos de Benfica"
31172055,T3 ,132, ,449500,215569712.0,https://www.idealista.pt/imovel/31172055/,"Apartamento T3 em Alto dos Moinhos, São Domingos de Benfica"
31170152,T2 ,85,1º andar ,315000,,https://www.idealista.pt/imovel/31170152/,"Apartamento T2 na rua Virgílio Correia, 45, Laranjeiras, São Domingos de Benfica"
31156441,T1 ,80,,360000,215552741.0,https://www.idealista.pt/imovel/31156441/,"Apartamento T1 em Laranjeiras, São Domingos de Benfica"
31151693,T3 ,123,2º andar ,460000,215557016.0,https://www.idealista.pt/imovel/31151693/,"Apartamento T3 em Alto dos Moinhos, São Domingos de Benfica"
31148921,T4 ,189,6º andar ,570000,215552458.0,https://www.idealista.pt/imovel/31148921/,"Apartamento T4 em Alto dos Moinhos, São Domingos de Benfica"
31148691,T3 ,126, ,530000,215561829.0,https://www.idealista.pt/imovel/31148691/,"Apartamento T3 em Estrada de Benfica, São Domingos de Benfica"
31148161,T4 ,240,,950000,215552783.0,https://www.idealista.pt/imovel/31148161/,"Apartamento T4 na rua António Albino Machado, s/n, Laranjeiras, São Domingos de Benfica"
31148131,T1 ,75,13º andar ,370000,215559701.0,https://www.idealista.pt/imovel/31148131/,"Apartamento T1 na rua Tomás da Fonseca, s/n, Laranjeiras, São Domingos de Benfica"
31138218,T5 ,200,7º andar ,569000,215561758.0,https://www.idealista.pt/imovel/31138218/,"Apartamento T5 em Estrada de Benfica, São Domingos de Benfica"
31130107,T2 ,105,,550000,215552758.0,https://www.idealista.pt/imovel/31130107/,"Apartamento T2 na rua Natércia Freire, s/n, Alto dos Moinhos, São Domingos de Benfica"
31124343,T4 ,203,6º andar ,690000,215550253.0,https://www.idealista.pt/imovel/31124343/,"Apartamento T4 na rua Abranches Ferrão, 21, Laranjeiras, São Domingos de Benfica"
31334370,T5 ,270,10º andar ,1600000,215554863.0,https://www.idealista.pt/imovel/31334370/,"Duplex na avenida dos Combatentes, Sete Rios, São Domingos de Benfica"
31116592,T3 ,173,,795000,215554759.0,https://www.idealista.pt/imovel/31116592/,"Apartamento T3 na rua António Alçada Baptista, s/n, Alto dos Moinhos, São Domingos de Benfica"
31113484,T2 ,70,,275000,215563526.0,https://www.idealista.pt/imovel/31113484/,"Moradia em banda, Rossio Palma, Laranjeiras, São Domingos de Benfica"
31111080,T1 ,82,3º andar ,525000,243430197.0,https://www.idealista.pt/imovel/31111080/,"Apartamento T1 em Alto dos Moinhos, São Domingos de Benfica"
31042863,T4 ,308,,1090000,215556032.0,https://www.idealista.pt/imovel/31042863/,"Apartamento T4 em Laranjeiras, São Domingos de Benfica"
31104999,T3 ,90,2º andar ,320000,215553058.0,https://www.idealista.pt/imovel/31104999/,"Apartamento T3 em Estrada de Benfica, São Domingos de Benfica"
31097980,T4 ,240,9º andar ,1450000,215560317.0,https://www.idealista.pt/imovel/31097980/,"Apartamento T4 em Estrada de Benfica, São Domingos de Benfica"
31093774,T3 ,173,6º andar ,575000,215561846.0,https://www.idealista.pt/imovel/31093774/,"Apartamento T3 em Laranjeiras, São Domingos de Benfica"
31088996,T6 ,244,5º andar ,849000,215560847.0,https://www.idealista.pt/imovel/31088996/,"Apartamento T6 em Laranjeiras, São Domingos de Benfica"
31088144,T2 ,84,,335000,215552758.0,https://www.idealista.pt/imovel/31088144/,"Apartamento T2, Alto dos Moinhos, s/n, Alto dos Moinhos, São Domingos de Benfica"
30987173,T2 ,111,4º andar ,580000,215551063.0,https://www.idealista.pt/imovel/30987173/,"Apartamento T2 em Laranjeiras, São Domingos de Benfica"
30984887,T4 ,197,5º andar ,920000,215551063.0,https://www.idealista.pt/imovel/30984887/,"Apartamento T4 em Laranjeiras, São Domingos de Benfica"
30984892,T5 ,258,5º andar ,1200000,215551063.0,https://www.idealista.pt/imovel/30984892/,"Apartamento T5 em Laranjeiras, São Domingos de Benfica"
31081414,T3 ,258,,985000,215552941.0,https://www.idealista.pt/imovel/31081414/,"Apartamento T3 em Alto dos Moinhos, São Domingos de Benfica"
31077708,T5 ,327,,980000,262220356.0,https://www.idealista.pt/imovel/31077708/,"Apartamento T5 em Estrada de Benfica, São Domingos de Benfica"
31071755,T4 ,212,8º andar ,950000,210062164.0,https://www.idealista.pt/imovel/31071755/,"Apartamento T4 em Laranjeiras, São Domingos de Benfica"
31071310,T3 ,104,7º andar ,379000,215561809.0,https://www.idealista.pt/imovel/31071310/,"Apartamento T3 em Alto dos Moinhos, São Domingos de Benfica"
31067576,T2 ,63,,295000,215560175.0,https://www.idealista.pt/imovel/31067576/,"Apartamento T2 em Estrada de Benfica, São Domingos de Benfica"
31049290,T4 ,160,,760000,215550017.0,https://www.idealista.pt/imovel/31049290/,"Apartamento T4 em Alto dos Moinhos, São Domingos de Benfica"
31060269,T4 ,240,2º andar ,960000,215555164.0,https://www.idealista.pt/imovel/31060269/,"Apartamento T4 na rua Maestro Frederico de Freitas, Alto dos Moinhos, São Domingos de Benfica"
31057474,T3 ,112,1º andar ,399000,215555164.0,https://www.idealista.pt/imovel/31057474/,"Apartamento T3 na rua António Albino Machado, Laranjeiras, São Domingos de Benfica"
30926463,T2 ,107,2º andar ,345000,210053120.0,https://www.idealista.pt/imovel/30926463/,"Apartamento T2 na rua António Albino Machado, Laranjeiras, São Domingos de Benfica"
31052707,T3 ,180,,598000,215564392.0,https://www.idealista.pt/imovel/31052707/,"Apartamento T3 em Alto dos Moinhos, São Domingos de Benfica"
